Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
14537,3166,198,6,192,-4,3137,218,245,163,1253,66.69,415.11,462.97,19.95,Type_32,Area_3,Type_2
1154,2877,342,13,450,131,618,193,220,166,2285,70.81,338.7,1155.71,12.01,Type_24,Area_1,Type_2
14507,3103,48,7,0,0,1034,223,225,137,2070,83.12,276.31,415.73,48.18,Type_22,Area_1,Type_2
7196,2950,269,39,450,316,1528,95,221,248,1595,62.51,220.58,716.58,54.54,Type_33,Area_3,Type_2
1801,2868,332,17,60,23,1718,177,215,176,2613,87.39,348.47,164.33,62.79,Type_33,Area_3,Type_2
11591,3034,96,19,277,-25,4268,247,209,82,2478,58.37,334.94,1025.44,8.34,Type_29,Area_1,Type_2
11434,2683,83,8,534,83,1084,231,227,128,2696,57.86,168.03,785.6,39.89,Type_12,Area_1,Type_2
11503,2912,41,5,124,-2,4018,221,229,144,5571,70.57,399.98,985.26,23.33,Type_20,Area_1,Type_2
3978,2776,8,21,85,28,2465,190,192,134,644,62.99,332.42,172.06,28.08,Type_31,Area_3,Type_2
14923,2743,218,27,0,0,2876,179,253,198,1209,85.26,303.65,293.15,6.35,Type_4,Area_3,Type_2
1189,3101,322,3,0,0,5428,212,236,162,3089,48.06,260.57,1128.62,35.9,Type_23,Area_1,Type_2
13947,3095,52,16,1318,226,2911,227,203,105,1328,34.69,254.87,848.96,10.04,Type_32,Area_3,Type_2
182,2755,320,4,30,-1,2890,209,236,165,5468,36.81,293.65,331.26,13.28,Type_12,Area_1,Type_2
7763,3169,22,15,1124,300,2897,209,206,130,2151,53.49,304.44,502.21,61.5,Type_24,Area_3,Type_2
